State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,60,7,0,2.45412750,1.87214507
20,60,7,35,2.41555458,1.80029225
20,60,7,58,2.38883544,1.76682733
20,60,7,82,2.38196964,1.76950632
20,60,7,120,2.36175286,1.74333607
20,60,8,0,2.47397222,1.87633333
20,60,8,35,2.44907117,1.82348115
20,60,8,58,2.42487300,1.79243396
20,60,8,82,2.41229481,1.77646167
20,60,8,120,2.39064079,1.74949133
50,60,25,0,2.46460133,1.86694444
50,60,25,35,2.42305556,1.80318081
50,60,25,58,2.39714004,1.76490744
50,60,25,82,2.37511481,1.74703833
50,60,25,120,2.34081321,1.72610275
50,60,26,0,2.44798767,1.85603550
50,60,26,35,2.39893729,1.78801589
50,60,26,58,2.37394444,1.74504863
50,60,26,82,2.35272850,1.72988371
50,60,26,120,2.31698263,1.70858061
100,60,43,0,2.41511111,1.74360435
100,60,43,35,2.29567953,1.66508333
100,60,43,58,2.18738315,1.52708875
100,60,43,82,2.05556835,1.39351361
100,60,43,120,1.92131592,1.26280556
100,60,44,0,2.41843204,1.75804713
100,60,44,35,2.30506733,1.67448571
100,60,44,58,2.31445514,1.66246896
100,60,44,82,2.18485606,1.53069889
100,60,44,120,2.01162079,1.34137299
20,60,71,0,2.45557217,1.86325883
20,60,71,35,2.43180271,1.80370879
20,60,71,58,2.40399149,1.76752400
20,60,71,82,2.39597967,1.75994271
20,60,71,120,2.37430556,1.74071579
20,60,72,0,2.43541340,1.80643043
20,60,72,35,2.44588442,1.83387171
20,60,72,58,2.41691667,1.79761111
20,60,72,82,2.40290844,1.77582732
20,60,72,120,2.38269167,1.75588071
50,60,83,0,2.40976771,1.75913033
50,60,83,35,2.40724999,1.78909910
50,60,83,58,2.38089192,1.74071579
50,60,83,82,2.36564167,1.73999365
50,60,83,120,2.32952778,1.71724628
50,60,84,0,2.41085075,1.77266638
50,60,84,35,2.40436143,1.77366124
50,60,84,58,2.38016978,1.73241119
50,60,84,82,2.34911738,1.70145846
50,60,84,120,2.31842690,1.69124928
100,60,95,0,2.41914275,1.77916363
100,60,95,35,2.30904483,1.68232472
100,60,95,58,2.20469003,1.55175988
100,60,95,82,2.06603936,1.41158333
100,60,95,120,1.92774976,1.29133333
100,60,96,0,2.46429896,1.88550464
100,60,96,35,2.31698263,1.69485997
100,60,96,58,2.23538093,1.58893858
100,60,96,82,2.12092192,1.47063585
100,60,96,120,1.99682150,1.33884550
100,60,112,0,2.42305556,1.76635172
100,60,112,35,2.30723375,1.66669656
100,60,112,58,2.19855185,1.51938022
100,60,112,82,2.06495615,1.38788479
100,60,112,120,1.91475126,1.24350146
50,60,115,0,2.41113889,1.73891044
50,60,115,35,2.40580571,1.76283082
50,60,115,58,2.38233619,1.72709044
50,60,115,82,2.35480556,1.70135922
50,60,115,120,2.31734369,1.68294468
20,60,118,0,2.40940669,1.75885967
20,60,118,35,2.43684375,1.81951000
20,60,118,58,2.40580571,1.77880267
20,60,118,82,2.39452778,1.76836111
20,60,118,120,2.37286111,1.74488889
