State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,60,7,0,1.56911111,1.55430417
20,60,7,39,1.54126651,1.52204708
20,60,7,59,1.53393456,1.51882406
20,60,7,84,1.52066667,1.50448714
20,60,7,120,1.49949657,1.48581581
20,60,8,0,1.55600000,1.53916247
20,60,8,39,1.52504733,1.50464844
20,60,8,59,1.50616199,1.49054792
20,60,8,84,1.48238867,1.46658878
20,60,8,120,1.45283865,1.44002658
50,60,25,0,1.56150139,1.54652153
50,60,25,39,1.53593418,1.51941514
50,60,25,59,1.52104808,1.50651217
50,60,25,84,1.49370667,1.47881406
50,60,25,120,1.44181338,1.43102433
50,60,26,0,1.57022222,1.55472192
50,60,26,39,1.53510588,1.51939783
50,60,26,59,1.52155625,1.50795625
50,60,26,84,1.49594168,1.48199878
50,60,26,120,1.44048063,1.43080206
100,60,43,0,1.56222222,1.54694219
100,60,43,39,1.46466667,1.44847314
100,60,43,59,1.46666667,1.45474586
100,60,43,84,1.36641042,1.35277283
100,60,43,120,1.26366913,1.24857667
100,60,44,0,1.56100233,1.54529854
100,60,44,39,1.46017061,1.44347189
100,60,44,59,1.45866667,1.44491669
100,60,44,84,1.35688889,1.34311347
100,60,44,120,1.25176525,1.23643896
20,60,71,0,1.47822222,1.45980931
20,60,71,39,1.53066667,1.51237800
20,60,71,59,1.52244444,1.50848814
20,60,71,84,1.50577778,1.49059478
20,60,71,120,1.48216649,1.46900853
20,60,72,0,1.46066667,1.44080456
20,60,72,39,1.52511111,1.50415372
20,60,72,59,1.51644444,1.49915247
20,60,72,84,1.49638604,1.47822383
20,60,72,120,1.46977778,1.45547489
50,60,83,0,1.46839129,1.44841558
50,60,83,39,1.50933938,1.49188025
50,60,83,59,1.49867738,1.48188775
50,60,83,84,1.47727851,1.46330075
50,60,83,120,1.42728789,1.41646514
50,60,84,0,1.47083528,1.45024483
50,60,84,39,1.52400000,1.50737675
50,60,84,59,1.51504533,1.50048614
50,60,84,84,1.48838754,1.47474233
50,60,84,120,1.44333333,1.43053117
100,60,95,0,1.48555556,1.46603308
100,60,95,39,1.45594918,1.43725458
100,60,95,59,1.45639354,1.44147139
100,60,95,84,1.35907846,1.34544739
100,60,95,120,1.26309646,1.24775631
100,60,96,0,1.49438642,1.47470192
100,60,96,39,1.48949844,1.47022983
100,60,96,59,1.49534550,1.48051867
100,60,96,84,1.40027600,1.38712447
100,60,96,120,1.30022222,1.28665492
100,60,112,0,1.49305333,1.47347939
100,60,112,39,1.45933333,1.44080747
100,60,112,59,1.46061497,1.44491550
100,60,112,84,1.36152244,1.34732975
100,60,112,120,1.26189213,1.24620036
50,60,115,0,1.47911111,1.46014272
50,60,115,39,1.52977488,1.51028900
50,60,115,59,1.52533238,1.50848814
50,60,115,84,1.50371800,1.48840558
50,60,115,120,1.45391894,1.44152842
20,60,118,0,1.48794318,1.46818842
20,60,118,39,1.53326801,1.51395475
20,60,118,59,1.52539501,1.51106658
20,60,118,84,1.51333333,1.49792994
20,60,118,120,1.49155556,1.47803431
