State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,50,1,0,1.93390115,1.81999518
20,50,1,92,1.91500000,1.78972222
20,50,1,152,2.03722222,1.86120675
20,60,2,0,1.88388889,1.77250000
20,60,2,29,1.94322239,1.77722222
20,60,2,63,1.93377983,1.75561425
20,60,2,79,1.93944444,1.76166667
20,60,2,120,1.95390415,1.78111111
50,50,4,0,1.96751731,1.73275988
50,50,4,92,1.94127833,1.71465700
50,50,4,152,1.92183778,1.68966200
50,60,5,0,1.97722222,1.78047717
50,60,5,29,2.01141278,1.78887940
50,60,5,63,1.99918872,1.76248656
50,60,5,79,1.99697867,1.77393500
50,60,5,120,1.98444444,1.74894525
100,50,7,0,1.94083333,1.73527778
100,50,7,92,1.91416667,1.67497343
100,50,7,152,1.93317638,1.69886590
100,60,8,0,1.96916667,1.78805556
100,60,8,29,1.93527778,1.76970986
100,60,8,63,1.88601161,1.67355411
100,60,8,79,1.83741022,1.56078964
100,60,8,120,1.75048317,1.49083333
20,50,11,0,1.92056582,1.78721249
20,50,11,92,1.96111111,1.77472222
20,50,11,152,1.88730033,1.74374667
20,50,12,0,1.93527778,1.76970986
20,50,12,92,1.92583333,1.75909256
20,50,12,152,2.00807894,1.83239615
20,50,13,0,1.95972222,1.75333333
20,50,13,92,1.95044317,1.74853911
20,50,13,152,2.01057932,1.83851063
20,50,14,0,1.98833333,1.75804144
20,50,14,92,1.98501993,1.76220874
20,50,14,152,1.97444444,1.75540867
20,60,15,0,1.94627733,1.73132033
20,60,15,29,1.97611111,1.77547817
20,60,15,63,1.95140378,1.74222222
20,60,15,79,1.95944444,1.76415347
20,60,15,120,1.96485413,1.77867788
20,60,16,0,1.95361111,1.74742822
20,60,16,29,1.97932628,1.76964600
20,60,16,63,1.96338100,1.74965000
20,60,16,79,1.96890640,1.76415347
20,60,16,120,1.97527778,1.78166667
20,60,17,0,1.86305556,1.71166667
20,60,17,29,1.90555556,1.77777778
20,60,17,63,1.90723049,1.76193092
20,60,17,79,1.97694444,1.75554107
20,60,17,120,1.99609725,1.76172750
20,60,18,0,1.96377383,1.76833333
20,60,18,29,1.99099061,1.78853111
20,60,18,63,1.97085114,1.76276438
20,60,18,79,1.98196392,1.78027778
20,60,18,120,1.99335451,1.80257513
50,50,23,0,1.96472222,1.75353811
50,50,23,92,1.96168310,1.74248356
50,50,23,152,1.93993285,1.71702472
50,50,24,0,1.97835226,1.76242522
50,50,24,92,1.96835076,1.74659506
50,50,24,152,1.95588400,1.72847500
50,50,25,0,1.99182378,1.77582189
50,50,25,92,1.96858213,1.74109446
50,50,25,152,1.96516244,1.73687478
50,50,26,0,1.96671300,1.75985133
50,50,26,92,1.95710850,1.74277778
50,50,26,152,1.94838700,1.73368139
50,60,27,0,1.90128633,1.76444444
50,60,27,29,2.00111111,1.78547617
50,60,27,63,1.99444444,1.75748581
50,60,27,79,1.98752031,1.74803994
50,60,27,120,1.98277778,1.73777778
50,60,28,0,1.95194444,1.77075689
50,60,28,29,2.01487472,1.80372267
50,60,28,63,2.00654306,1.77972222
50,60,28,79,2.00891240,1.79110196
50,60,28,120,2.00002218,1.76970986
50,60,29,0,1.88656706,1.73770794
50,60,29,29,1.99805556,1.77498843
50,60,29,63,1.98861111,1.75416667
50,60,29,79,1.98779813,1.76325839
50,60,29,120,1.98168610,1.74776213
50,60,30,0,1.89906456,1.74527778
50,60,30,29,1.98305556,1.78194444
50,60,30,63,1.97390715,1.76081964
50,60,30,79,1.96710650,1.75679700
50,60,30,120,1.96111111,1.74298467
100,50,35,0,1.95694444,1.74215150
100,50,35,92,1.88955000,1.66550017
100,50,35,152,1.88628933,1.70497793
100,50,36,0,1.97404956,1.76075889
100,50,36,92,1.93805556,1.70938028
100,50,36,152,1.97446279,1.77284250
100,50,37,0,1.94750000,1.73444444
100,50,37,92,1.89406556,1.67944444
100,50,37,152,1.88833333,1.71747981
100,50,38,0,1.95933028,1.73159806
100,50,38,92,1.90229433,1.66683300
100,50,38,152,1.88146933,1.69938228
100,60,39,0,1.96888889,1.75575989
100,60,39,29,1.92667785,1.69555556
100,60,39,63,1.95222222,1.71687878
100,60,39,79,1.87083614,1.61888889
100,60,39,120,1.80777778,1.54166667
100,60,40,0,1.86879283,1.70743622
100,60,40,29,1.90305556,1.66661106
100,60,40,63,1.85250000,1.62579939
100,60,40,79,1.80269494,1.57361111
100,60,40,120,1.74138889,1.49777778
100,60,41,0,1.90945304,1.74250000
100,60,41,29,1.91472222,1.67722222
100,60,41,63,1.88490072,1.65244722
100,60,41,79,1.83833126,1.58718250
100,60,41,120,1.77075689,1.50439800
100,60,42,0,1.93638889,1.72854311
100,60,42,29,1.90201667,1.65883483
100,60,42,63,1.88361583,1.65469261
100,60,42,79,1.83935428,1.60079089
100,60,42,120,1.77449022,1.51161733
