State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,50,1,0,1.30593794,1.26583217
20,50,1,99,1.30106369,1.25704058
20,50,1,152,1.29673103,1.24024633
20,50,2,0,1.32420779,1.28123875
20,50,2,99,1.31767225,1.27015500
20,50,2,152,1.31121558,1.25049013
20,50,3,0,1.29763367,1.26679208
20,50,3,99,1.29524914,1.26211174
20,50,3,152,1.29257889,1.21483893
20,60,7,0,1.28481619,1.24161625
20,60,7,31,1.27600183,1.22855165
20,60,7,64,1.26477761,1.21253563
20,60,7,81,1.25755650,1.19618400
20,60,7,120,1.23821992,1.16025203
20,60,8,0,1.28279656,1.22716625
20,60,8,31,1.26693206,1.20954717
20,60,8,64,1.25013108,1.18506789
20,60,8,81,1.23842056,1.16250250
20,60,8,120,1.21939938,1.12384875
20,60,9,0,1.27019344,1.23246314
20,60,9,31,1.29384258,1.26008389
20,60,9,64,1.29745314,1.25758233
20,60,9,81,1.29434678,1.23522758
20,60,9,120,1.28712789,1.20520344
50,50,19,0,1.16575375,1.09002672
50,50,19,99,1.18498433,1.11546325
50,50,19,152,1.18841892,1.10555211
50,50,20,0,1.14335625,1.06237175
50,50,20,99,1.07736017,0.97785875
50,50,20,152,1.00192917,0.89343197
50,50,21,0,1.14164783,1.06279750
50,50,21,99,1.07092217,0.97828003
50,50,21,152,0.99790350,0.89758411
50,60,25,0,1.28485042,1.24600272
50,60,25,31,1.16945894,1.08963983
50,60,25,64,1.03751000,0.93560225
50,60,25,81,1.06691917,0.96034217
50,60,25,120,0.97394736,0.85732642
50,60,26,0,1.29369900,1.25951564
50,60,26,31,1.16422364,1.08031813
50,60,26,64,1.03338394,0.93242597
50,60,26,81,0.97573625,0.87205750
50,60,27,0,1.27184001,1.23535158
50,60,27,31,1.16159938,1.08283333
50,60,27,64,1.04106292,0.92863489
50,60,27,81,0.98303219,0.87005050
100,50,37,0,1.23805950,1.19924603
100,50,37,99,1.20214325,1.16530681
100,50,37,152,1.13660289,1.09783875
100,50,38,0,1.22417442,1.18905438
100,50,38,99,1.18372064,1.14996194
100,50,38,152,1.11481750,1.07465142
100,50,39,0,1.19635036,1.13840817
100,50,39,99,1.13966142,1.08244456
100,50,39,152,1.06183000,1.00693267
100,60,43,0,1.28394750,1.24762747
100,60,43,31,1.22414308,1.18155675
100,60,43,64,1.12107750,1.07991717
100,60,43,81,1.04395225,1.00590078
100,60,43,120,0.96088392,0.92719067
100,60,44,0,1.29381688,1.24473903
100,60,44,31,1.22650572,1.17325003
100,60,44,64,1.11313428,1.06255233
100,60,44,81,1.02341197,0.97773844
100,60,44,120,0.93827508,0.90029203
100,60,45,0,1.29131519,1.25268225
100,60,45,31,1.24437797,1.20285658
100,60,45,64,1.16078967,1.11927222
100,60,45,81,1.08819517,1.04832481
100,60,45,120,1.01126667,0.97808438
