State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,60,7,0,2.52708333,2.27874564
20,60,7,28,2.48363033,2.20651475
20,60,7,56,2.46597222,2.15616149
20,60,7,81,2.44197033,2.13229767
20,60,7,120,2.42187500,2.11216200
20,60,8,0,2.52252489,2.27110583
20,60,8,28,2.48675671,2.20936867
20,60,8,56,2.47013889,2.15243333
20,60,8,81,2.44891367,2.13879829
20,60,8,120,2.43294400,2.13020833
50,60,25,0,2.53745724,2.29234150
50,60,25,28,2.47465278,2.19861111
50,60,25,56,2.44826389,2.16111250
50,60,25,81,2.41419700,2.09828667
50,60,25,120,2.39267267,2.07119633
50,60,26,0,2.52500000,2.27006404
50,60,26,28,2.44508504,2.15243056
50,60,26,56,2.41973478,2.12639583
50,60,26,81,2.39062500,2.08577733
50,60,26,120,2.36493056,2.05208333
100,60,43,0,2.52981743,2.27874564
100,60,43,28,2.32393367,1.93144343
100,60,43,56,2.28159722,1.84791667
100,60,43,81,2.23611111,1.76180556
100,60,44,0,2.53716854,2.28333333
100,60,44,28,2.33229167,1.94375000
100,60,44,56,2.29541431,1.86827972
100,60,44,81,2.25276450,1.79166667
100,60,44,120,2.19644817,1.68819444
20,60,71,0,2.52881944,2.27847222
20,60,71,28,2.49131944,2.20970933
20,60,71,56,2.47083053,2.14574357
20,60,71,81,2.44826389,2.12638889
20,60,71,120,2.42634783,2.10695450
20,60,72,0,2.52812500,2.27945751
20,60,72,28,2.47638764,2.19088788
20,60,72,56,2.45967583,2.14201833
20,60,72,81,2.44062500,2.13334489
20,60,72,120,2.41875000,2.10799600
50,60,83,0,2.52884592,2.26589688
50,60,83,28,2.44509483,2.14886894
50,60,83,56,2.41591488,2.12153550
50,60,83,81,2.38223028,2.08090278
50,60,83,120,2.35653275,2.05763889
50,60,84,0,2.52634479,2.26381329
50,60,84,28,2.45550296,2.15373064
50,60,84,56,2.42984683,2.11284722
50,60,84,81,2.39996317,2.08506944
50,60,84,120,2.37118056,2.03784722
100,60,95,0,2.51881613,2.26728593
100,60,95,28,2.30305411,1.90694444
100,60,95,56,2.23991933,1.81423611
100,60,95,81,2.21180556,1.74062500
100,60,95,120,2.17361111,1.66686667
100,60,96,0,2.52223381,2.27465278
100,60,96,28,2.31837900,1.92746933
100,60,96,56,2.25833333,1.83205244
100,60,96,81,2.23429586,1.76597222
100,60,96,120,2.18776250,1.70923286
100,60,112,0,2.51979167,2.27563700
100,60,112,28,2.29402525,1.89409722
100,60,112,56,2.26838700,1.83841503
100,60,112,81,2.22222222,1.76638400
50,60,115,0,2.53091679,2.28985808
50,60,115,28,2.44821933,2.15129979
50,60,115,56,2.42110000,2.11007900
50,60,115,81,2.39198901,2.07048611
50,60,115,120,2.36799246,2.04513889
20,60,118,0,2.52848556,2.26562500
20,60,118,28,2.48293600,2.20138383
20,60,118,56,2.46800783,2.16275950
20,60,118,81,2.44582353,2.14400725
20,60,118,120,2.42604167,2.12501422
