State-of-Charge,Temperature,Cell Identity Number,Days Passed,Discharge Capacity,Charge Capacity
20,60,7,0,2.49419444,1.68927778
20,60,7,37,2.45274474,1.58112310
20,60,7,57,2.44588442,1.60827517
20,60,7,80,2.43794089,1.58749475
20,60,7,120,2.42926246,1.57654765
20,60,8,0,2.49493933,1.69866667
20,60,8,37,2.46387900,1.61831325
20,60,8,57,2.46171200,1.64369624
20,60,8,80,2.45381140,1.62228501
20,60,8,120,2.44911822,1.60863633
50,60,25,0,2.49166667,1.69603867
50,60,25,37,2.44877297,1.59784747
50,60,25,57,2.42891415,1.58485097
50,60,25,80,2.41554393,1.55488682
50,60,25,120,2.40436143,1.57119444
50,60,26,0,2.48771600,1.68989883
50,60,26,37,2.44327778,1.58617807
50,60,26,57,2.41908333,1.55945893
50,60,26,80,2.41157278,1.55404289
50,60,26,120,2.39677897,1.55205556
100,60,43,0,2.49207888,1.69269356
100,60,43,37,2.29016667,1.31084143
100,60,43,57,2.13792425,1.15127329
100,60,44,0,2.48921275,1.68159200
100,60,44,37,2.28665279,1.30686111
100,60,44,57,2.13319828,1.14730214
20,60,71,0,2.45272836,1.52817179
20,60,71,37,2.45057832,1.56571724
20,60,71,57,2.44552335,1.60037457
20,60,71,80,2.43858333,1.57715133
20,60,71,120,2.43713889,1.58112310
20,60,72,0,2.45706053,1.56668032
20,60,72,37,2.45375000,1.58888889
20,60,72,57,2.44472222,1.61109186
20,60,72,80,2.42240319,1.55187647
20,60,72,120,2.43215057,1.59387632
50,60,83,0,2.44984025,1.57967882
50,60,83,37,2.42384725,1.52817179
50,60,83,57,2.41555458,1.52708875
50,60,83,80,2.41150000,1.53972424
50,60,83,120,2.38811331,1.48543969
50,60,84,0,2.45736111,1.58762235
50,60,84,37,2.43966667,1.56463419
50,60,84,57,2.42305556,1.55223754
50,60,84,80,2.41698799,1.55705290
50,60,84,120,2.39135600,1.50362285
100,60,95,0,2.45816078,1.58087982
100,60,95,37,2.29206883,1.27746369
100,60,95,57,2.14366929,1.13647172
100,60,96,0,2.45489444,1.58954415
100,60,96,37,2.29676274,1.30289913
100,60,96,57,2.11875550,1.07762646
100,60,112,0,2.45816078,1.53791917
100,60,112,37,2.28341285,1.24763889
100,60,112,57,2.11069444,1.06094444
50,60,115,0,2.45056228,1.56198642
50,60,115,37,2.44949511,1.56824433
50,60,115,57,2.43108057,1.54261235
50,60,115,80,2.42205383,1.55223754
50,60,115,120,2.41150983,1.56090321
20,60,118,0,2.44585367,1.56331054
20,60,118,37,2.45555556,1.59423733
20,60,118,57,2.45555556,1.62647825
20,60,118,80,2.44038889,1.57390171
20,60,118,120,2.44797222,1.61127778
