Time [hours]	Voltage [V]	Time [hours]	Voltage [V]
0.000044	2.1489		0.000044	2.1489
0.000336	2.1489		0.000336	2.1489
0.000614	2.1489		0.000614	2.1489
0.000891	2.1489		0.000891	2.1489
0.001178	2.1489		0.001178	2.1489
0.001442	2.1489		0.001442	2.1489
0.001728	2.1489		0.001728	2.1489
0.002002	2.1489		0.002002	2.1489
0.002278	2.1489		0.002278	2.1489
0.002561	2.1491		0.002561	2.1491
0.002838	2.1489		0.002838	2.1489
0.002838	2.1489		0.002838	2.1489
0.002853	2.1461		0.002853	2.1461
0.011199	2.0906		0.011199	2.0906
0.019528	2.0732		0.019528	2.0732
0.027870	2.0613		0.027870	2.0613
0.036203	2.053		0.036203	2.053
0.044523	2.0473		0.044523	2.0473
0.052857	2.0433		0.052857	2.0433
0.061193	2.0402		0.061193	2.0402
0.069526	2.0374		0.069526	2.0374
0.077853	2.0354		0.077853	2.0354
0.086201	2.0334		0.086201	2.0334
0.094534	2.0312		0.094534	2.0312
0.102856	2.0293		0.102856	2.0293
0.111189	2.0275		0.111189	2.0275
0.119535	2.0255		0.119535	2.0255
0.127861	2.0233		0.127861	2.0233
0.136194	2.021		0.136194	2.021
0.144521	2.0186		0.144521	2.0186
0.152858	2.0162		0.152858	2.0162
0.161193	2.0134		0.161193	2.0134
0.169524	2.0105		0.169524	2.0105
0.177864	2.0075		0.177864	2.0075
0.186199	2.0043		0.186199	2.0043
0.194523	2.0006		0.194523	2.0006
0.202858	1.997		0.202858	1.997
0.211188	1.993		0.211188	1.993
0.219529	1.9887		0.219529	1.9887
0.227853	1.9841		0.227853	1.9841
0.236200	1.979		0.236200	1.979
0.244525	1.9736		0.244525	1.9736
0.252858	1.9677		0.252858	1.9677
0.261189	1.9612		0.261189	1.9612
0.269541	1.9536		0.269541	1.9536
0.277868	1.9457		0.277868	1.9457
0.286199	1.9366		0.286199	1.9366
0.294523	1.9261		0.294523	1.9261
0.302858	1.9144		0.302858	1.9144
0.311188	1.9014		0.311188	1.9014
0.319533	1.8869		0.319533	1.8869
0.327858	1.8703		0.327858	1.8703
0.336206	1.8511		0.336206	1.8511
0.344519	1.8293		0.344519	1.8293
0.352857	1.804		0.352857	1.804
0.361193	1.7759		0.361193	1.7759
0.369527	1.7462		0.369527	1.7462
0.377861	1.7155		0.377861	1.7155
0.386198	1.6848		0.386198	1.6848
0.394533	1.6549		0.394533	1.6549
0.402866	1.6262		0.402866	1.6262
0.411186	1.5989		0.411186	1.5989
0.419523	1.5735		0.419523	1.5735
0.427853	1.5496		0.427853	1.5496
0.436188	1.5276		0.436188	1.5276
0.444531	1.507		0.444531	1.507
0.447459	1.4999		0.447459	1.4999
0.447474	1.5141		0.447474	1.5141
0.455815	2.1166		0.455815	2.1166
0.464140	2.1378		0.464140	2.1378
0.472476	2.1475		0.472476	2.1475
0.480822	2.1542		0.480822	2.1542
0.489143	2.1592		0.489143	2.1592
0.497475	2.1631		0.497475	2.1631
0.505812	2.1663		0.505812	2.1663
0.514148	2.1691		0.514148	2.1691
0.522493	2.1718		0.522493	2.1718
0.530814	2.1738		0.530814	2.1738
0.539153	2.176		0.539153	2.176
0.547474	2.1778		0.547474	2.1778
0.555809	2.1794		0.555809	2.1794
0.564142	2.1811		0.564142	2.1811
0.572476	2.1825		0.572476	2.1825
0.580813	2.1839		0.580813	2.1839
0.589143	2.1853		0.589143	2.1853
0.597479	2.1863		0.597479	2.1863
0.605823	2.1877		0.605823	2.1877
0.614144	2.1887		0.614144	2.1887
0.622479	2.1898		0.622479	2.1898
0.630812	2.1908		0.630812	2.1908
0.639143	2.1918		0.639143	2.1918
0.647483	2.1926		0.647483	2.1926
0.655822	2.1934		0.655822	2.1934
0.664147	2.1944		0.664147	2.1944
0.672483	2.1952		0.672483	2.1952
0.680813	2.1958		0.680813	2.1958
0.689145	2.1966		0.689145	2.1966
0.697470	2.1974		0.697470	2.1974
0.705817	2.198		0.705817	2.198
0.714142	2.1986		0.714142	2.1986
0.722494	2.1993		0.722494	2.1993
0.730810	2.1999		0.730810	2.1999
0.739159	2.2005		0.739159	2.2005
0.747498	2.2011		0.747498	2.2011
0.755817	2.2017		0.755817	2.2017
0.764150	2.2023		0.764150	2.2023
0.772480	2.2027		0.772480	2.2027
0.780808	2.2033		0.780808	2.2033
0.789139	2.2037		0.789139	2.2037
0.797478	2.2041		0.797478	2.2041
