Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.128400	0.000883	1.668150
2.151100	0.001767	3.177165
2.160400	0.002682	2.699758
2.166500	0.003565	2.264130
2.171100	0.004448	1.870281
2.175000	0.005363	1.518211
2.178000	0.006247	1.207920
2.180700	0.007130	0.939409
2.183100	0.008045	0.712676
2.185100	0.008928	0.478737
2.186900	0.009812	0.387312
2.188600	0.010695	0.359095
2.190200	0.011610	0.417979
2.191400	0.012493	0.399844
2.192600	0.013377	0.372844
2.193800	0.014292	0.343940
2.194600	0.015175	0.316589
2.195600	0.016058	0.288622
2.196500	0.016973	0.263416
2.197300	0.017857	0.238368
2.197900	0.018740	0.214121
2.198500	0.019623	0.194238
2.199100	0.020538	0.175975
2.199500	0.021422	0.158818
2.200100	0.022305	0.141222
2.200500	0.023220	0.122956
2.200700	0.024103	0.105761
2.201100	0.024987	0.088920
2.201300	0.025902	0.076765
2.201500	0.026785	0.064037
2.201700	0.027668	0.052461
2.201900	0.028552	0.040684
2.202100	0.029467	0.028745
2.202100	0.030350	0.018732
2.202100	0.031233	0.009289
2.202100	0.032148	0.001617
2.202100	0.033032	-0.007841
2.202100	0.033915	-0.017230
2.202100	0.034798	-0.024771
2.202100	0.035713	-0.030809
2.201900	0.036597	-0.037010
2.201900	0.037480	-0.040861
2.201700	0.038395	-0.044104
2.201500	0.039278	-0.045921
2.201500	0.040162	-0.048941
2.201300	0.041076	-0.051613
2.201100	0.041960	-0.053708
2.200900	0.042843	-0.056312
2.200900	0.043758	-0.057144
2.200700	0.044641	-0.058176
2.200500	0.045525	-0.058009
2.200300	0.046408	-0.058703
2.200300	0.047323	-0.058934
2.200100	0.048206	-0.058703
2.199900	0.049090	-0.058009
2.199700	0.050005	-0.058192
2.199500	0.050888	-0.057948
2.199300	0.051771	-0.057416
2.199100	0.052655	-0.054547
2.199100	0.053570	-0.052745
2.198900	0.054453	-0.052087
2.198700	0.055336	-0.049322
2.198700	0.056251	-0.045841
2.198500	0.057135	-0.041674
2.198300	0.058018	-0.040388
2.198300	0.058901	-0.038769
2.198100	0.059816	-0.035690
2.198100	0.060700	-0.033472
2.197900	0.061583	-0.030140
2.197900	0.062498	-0.028383
2.197700	0.063381	-0.026232
2.197700	0.064265	-0.023860
2.197700	0.065148	-0.021418
2.197500	0.066063	-0.019039
2.197500	0.066946	-0.016898
2.197500	0.067830	-0.015147
2.197500	0.068745	-0.011803
2.197500	0.069628	-0.010390
2.197300	0.070511	-0.007627
2.197300	0.071426	-0.007026
2.197300	0.072310	-0.005299
2.197300	0.073193	-0.003843
2.197300	0.074076	-0.002735
2.197300	0.074991	-0.002049
2.197300	0.075875	-0.003181
2.197300	0.076758	-0.002034
2.197300	0.077673	0.000000
2.197300	0.078556	0.002033
2.197300	0.079440	0.003181
2.197300	0.080323	0.003367
2.197300	0.081238	0.004636
2.197300	0.082121	0.004359
2.197300	0.083005	0.004584
2.197300	0.083920	0.005231
2.197300	0.084803	0.007540
2.197300	0.085686	0.009392
2.197500	0.086570	0.009461
2.197500	0.087485	0.009797
2.197500	0.088368	0.010332
2.197500	0.089251	0.012296
2.197500	0.090166	0.012250
2.197500	0.091050	0.012238
2.197500	0.091933	0.012196
2.197700	0.092848	0.013352
2.197700	0.093731	0.012261
2.197700	0.094615	0.013113
2.197700	0.095498	0.014577
2.197700	0.096413	0.017974
2.197900	0.097296	0.017806
2.197900	0.098180	0.017458
2.197900	0.099063	0.016834
2.197900	0.099978	0.017175
2.198100	0.100861	0.017181
2.198100	0.101745	0.017643
2.198100	0.102660	0.018561
2.198100	0.103543	0.017822
2.198300	0.104426	0.016665
2.198300	0.105341	0.017127
2.198300	0.106225	0.019208
2.198300	0.107108	0.019562
2.198500	0.107991	0.018167
2.198500	0.108906	0.018398
2.198500	0.109790	0.018931
2.198500	0.110673	0.019785
2.198700	0.111588	0.018814
2.198700	0.112471	0.019385
2.198700	0.113355	0.020201
2.198900	0.114238	0.021241
2.198900	0.115153	0.020379
2.198900	0.116036	0.021002
2.198900	0.116920	0.021773
2.199100	0.117834	0.022697
2.199100	0.118718	0.021642
2.199100	0.119601	0.021996
2.199300	0.120485	0.022420
2.199300	0.121400	0.022913
2.199300	0.122283	0.023499
2.199500	0.123166	0.024153
2.199500	0.124081	0.024885
2.199500	0.124965	0.023560
2.199700	0.125848	0.023568
2.199700	0.126763	0.023568
2.199700	0.127646	0.023560
2.199900	0.128530	0.023568
2.199900	0.129413	0.023568
2.199900	0.130328	0.022250
2.200100	0.131211	0.022974
2.200100	0.132095	0.023637
2.200100	0.133009	0.025532
2.200300	0.133893	0.025292
2.200300	0.134776	0.025070
2.200300	0.135660	0.023522
2.200500	0.136574	0.024014
2.200500	0.137458	0.024446
2.200500	0.138341	0.024793
2.200700	0.139256	0.025063
2.200700	0.140139	0.023929
2.200900	0.141023	0.024785
2.200900	0.141906	0.025479
2.200900	0.142821	0.026009
2.200900	0.143704	0.026394
2.201100	0.144588	0.025317
2.201100	0.145503	0.026126
2.201300	0.146386	0.026694
2.201300	0.147269	0.027050
2.201300	0.148184	0.027166
2.201500	0.149068	0.027859
2.201500	0.149951	0.029130
2.201700	0.150834	0.030171
2.201700	0.151749	0.028853
2.201700	0.152633	0.028535
2.201900	0.153516	0.027929
2.201900	0.154399	0.029130
2.202100	0.155314	0.027457
2.202100	0.156198	0.026303
2.202100	0.157081	0.026881
2.202300	0.157996	0.027073
2.202300	0.158879	0.028997
2.202500	0.159763	0.029315
2.202500	0.160678	0.029315
2.202500	0.161561	0.028997
2.202700	0.162444	0.027073
2.202700	0.163328	0.029007
2.202700	0.164243	0.029315
2.202900	0.165126	0.029305
2.203100	0.166009	0.029007
2.203100	0.166924	0.026415
2.203100	0.167808	0.028046
2.203300	0.168691	0.027081
2.203300	0.169574	0.028795
2.203300	0.170489	0.030009
2.203500	0.171373	0.030721
2.203500	0.172256	0.030933
2.203700	0.173171	0.029327
2.203700	0.174054	0.031385
2.203700	0.174938	0.032455
2.203900	0.175821	0.033822
2.203900	0.176736	0.034677
2.204200	0.177619	0.035055
2.204200	0.178503	0.034920
2.204400	0.179418	0.032967
2.204400	0.180301	0.032551
2.204400	0.181184	0.032389
2.204600	0.182099	0.032447
2.204600	0.182983	0.031916
2.204800	0.183866	0.030829
2.204800	0.184749	0.029154
2.205000	0.185664	0.028762
2.205000	0.186548	0.029055
2.205000	0.187431	0.031388
2.205200	0.188346	0.031349
2.205200	0.189229	0.030915
2.205400	0.190113	0.028799
2.205400	0.190996	0.028337
2.205600	0.191911	0.028211
2.205600	0.192794	0.028452
2.205600	0.193678	0.029030
2.205800	0.194561	0.029944
2.205800	0.195476	0.030406
2.206000	0.196359	0.030417
2.206000	0.197243	0.029955
2.206000	0.198158	0.029829
2.206200	0.199041	0.030060
2.206200	0.199924	0.030648
2.206400	0.200839	0.031562
2.206400	0.201723	0.032024
2.206600	0.202606	0.032035
2.206600	0.203489	0.031573
2.206800	0.204404	0.031446
2.206800	0.205288	0.031688
2.206800	0.206171	0.030140
2.207000	0.207086	0.030168
2.207000	0.207969	0.028350
2.207200	0.208853	0.030178
2.207200	0.209736	0.030129
2.207400	0.210651	0.031677
2.207400	0.211534	0.031457
2.207400	0.212418	0.031573
2.207600	0.213332	0.032024
2.207600	0.214216	0.030707
2.207800	0.215099	0.030987
2.207800	0.215983	0.029390
2.208000	0.216897	0.031438
2.208000	0.217781	0.030325
2.208200	0.218664	0.032836
2.208200	0.219579	0.033479
2.208200	0.220463	0.033595
2.208400	0.221346	0.033183
2.208400	0.222261	0.030892
2.208600	0.223144	0.032247
2.208600	0.224028	0.030440
2.208800	0.224911	0.032258
2.208800	0.225826	0.030892
2.209000	0.226709	0.033183
2.209000	0.227593	0.033607
2.209200	0.228507	0.033479
2.209200	0.229391	0.032825
2.209200	0.230274	0.030325
2.209400	0.231189	0.031449
2.209400	0.232072	0.030707
2.209600	0.232956	0.031573
2.209600	0.233839	0.030648
2.209800	0.234754	0.030060
2.209800	0.235637	0.029829
2.210000	0.236521	0.029955
2.210000	0.237436	0.030417
2.210000	0.238319	0.029089
2.210200	0.239202	0.029359
2.210200	0.240117	0.027782
2.210400	0.241001	0.029821
2.210400	0.241884	0.028697
2.210400	0.242767	0.031218
2.210600	0.243682	0.031862
2.210600	0.244566	0.034103
