10oC	
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34498007158113	0.273530752737680	0.120035424729497
20	2.34749982081164	0.302845582871847	0.123070302078452
40	2.35040890585898	0.282296539596507	0.138587899227200
60	2.35290224872123	0.289802288065777	0.140453546415874
80	2.35370214754603	0.295884993215631	0.140414325701218
100	2.35403562165874	0.294957973900103	0.143304131693925
120	2.35989429778016	0.274319251605332	0.153722079436232
140	2.36225408867283	0.306622020794538	0.140473164150425
160	2.38906177977817	0.404150585103617	0.160906926682496

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34669264735381	0.291998713838802	0.117646722809460
20	2.34798037672931	0.304668222979964	0.119851593437296
40	2.35038403888455	0.299126675316574	0.131588794055390
60	2.35198285567658	0.305160784656244	0.135726990848502
80	2.35314859624820	0.304521821859062	0.137951308231104
100	2.35439504248683	0.304164238072562	0.136572069815702
120	2.36138948932982	0.286307276130191	0.144939664614948
140	2.36576160838797	0.294634856493688	0.150485739112257
160	2.38332041602507	0.416961829422851	0.160483010476129

20oC	
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34256887129052	0.294749865846117	0.113615635966556
20	2.34554963465092	0.367325878128773	0.117543631168125
40	2.33973963967705	0.341826134401980	0.122267348148820
60	2.34325087333596	0.379413338304775	0.120275235041120
80	2.34276859585477	0.379035117812044	0.119961533200408
100	2.34304471622668	0.385776197197320	0.120175985101606
120	2.34686363518613	0.404137874459029	0.123999346690766
140	2.34441165093843	0.391721617730521	0.123420929586420
160	2.34607561643776	0.379712552640523	0.128057852404031
180	2.35021376404398	0.370922134538213	0.132506457630647
200	2.35658631258287	0.365797915667283	0.142986756244085
220	2.36371044618356	0.395399208076755	0.142817487943103
240	2.36961384282394	0.395586509135775	0.146028616545122

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34088749026744	0.307274992912497	0.108164752124236
20	2.34255176255458	0.352972376911660	0.113510085769986
40	2.34021720130321	0.359242768568979	0.118777335803219
60	2.34485927523239	0.361470064397022	0.121296731360215
80	2.34358367696969	0.365293162516932	0.120836000740134
