10oC	
Cycles	Shuttle current
0	0.0415446601941746
40	0.0434608695652174
80	0.0456500000000000
120	0.0403405904059039
160	0.0490302013422817

20oC	
Cycles	Shuttle current
0	0.0531619469026548
40	0.0585611570247935
80	0.0564197080291970
120	0.0601657289002556
160	0.0639162371134020
200	0.0545200534759358

30oC	
Cycles	Shuttle current
0	0.0537579908675798
40	0.0762637681159417
80	0.126968421052631
120	0.181007357859531
160	0.178057818181817
200	0.176593992932862
240	0.167823870967742
280	0.155846762589928
320	0.139658273381294
360	0.111808270676691
400	0.0532819819819821

40oC	
Cycles	Shuttle current
0	0.0330855670103092
40	0.127340862944162
80	0.196382352941176

50oC	
Cycles	Shuttle current
0	0.0398492610837438
20	0.0557013651877132
40	0.0843949090909088
60	0.119958803986711
80	0.160697424892703
100	0.150833250000000
120	0.152048936170212
140	0.127140140845070
160	0.113993975903614
180	0.102928286852589
200	0.0803146718146717
220	0.0525595419847328

0.1C/0.2C
Cycles	Shuttle current
0	0.0537579908675798
40	0.0762637681159417
80	0.126968421052631
120	0.181007357859531
160	0.178057818181817
200	0.176593992932862
240	0.167823870967742
280	0.155846762589928
320	0.139658273381294
360	0.111808270676691
400	0.0532819819819821

0.1C/0.5C
Cycles	Shuttle current
0	0.0506372197309417
40	0.119041142857143
80	0.181299331103679

0.1C/1C
Cycles	Shuttle current
0	0.0372078817733990
40	0.0523432989690721
80	0.0646460063897762
120	0.0647368932038833

0.2C/0.2C
Cycles	Shuttle current
0	0.0407589999999999
40	0.0631627306273063

0.3C/0.2C
Cycles	Shuttle current
0	0.0482263636363636
20	0.0784595092024538
30	0.0631805860805859
