10oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	42.2000000000000	0.799999999999997	49.7500000000000	0.250000000000000
20	30	2.90000000000000	54.7000000000000	1.30000000000000
40	31.2000000000000	2.70000000000000	62.1500000000000	1.95000000000000
60	30.3500000000000	2.25000000000000	68.1500000000000	1.25000000000000
80	31.4500000000000	2.05000000000000	79.4000000000000	3.40000000000001
100	33.1500000000000	1.85000000000000	103.750000000000	3.65000000000001
120	37.1500000000000	0.850000000000001	143.300000000000	12.2000000000000
140	44.1500000000000	0.0499999999999972	180.800000000000	10.3000000000000
160	99.2500000000000	0.450000000000003	252.500000000000	4.19999999999999

20oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	36.7000000000000	0.499999999999993	47.2500000000000	3.15000000000000
20	41.9000000000000	0.800000000000004	43.3500000000000	3.15000000000000
40	39.8500000000000	1.55000000000000	43.1500000000000	2.25000000000001
60	38.3000000000000	0.500000000000007	48.3500000000000	4.84999999999999
80	35.6000000000000	0.600000000000001	51.9000000000000	5.90000000000000
100	35	0.299999999999997	54.3500000000000	6.15000000000000
120	35	0.299999999999997	58	7.90000000000000
140	35.6500000000000	0.850000000000001	63.8500000000000	9.05000000000000
160	37.8000000000000	1	75.5500000000000	12.7500000000000
180	41.7000000000000	1.40000000000000	94.8000000000000	13.9000000000000
200	48.8000000000000	3.70000000000000	114.050000000000	15.0500000000000
220	53.4000000000000	0	114	0
240	66.2000000000000	0	151.600000000000	0

30oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	36.6000000000000	0.899999999999999	47.3500000000000	2.05000000000000
20	30.3500000000000	0.250000000000000	43.1000000000000	0.300000000000004
40	29.5000000000000	2	43.7000000000000	1.70000000000000
60	26.2500000000000	0.550000000000001	46.8500000000000	0.950000000000003
80	25.6500000000000	0.350000000000001	51.0500000000000	0.150000000000006
100	30.2000000000000	1	52.3500000000000	1.25000000000000
120	34.4000000000000	0.600000000000001	52.5000000000000	0.500000000000000
140	36.5000000000000	0.799999999999997	52.5000000000000	0.900000000000006
160	35.8500000000000	0.450000000000003	53.8000000000000	1.50000000000001
180	35.5000000000000	0.100000000000001	54.2500000000000	2.55000000000000
200	36	0.900000000000006	57.1000000000000	1.80000000000000
220	36.7500000000000	2.05000000000000	61.5500000000000	4.55000000000000
240	37	2.20000000000000	66.7500000000000	6.65000000000001
260	33.7000000000000	0.399999999999999	64.3000000000000	2.39999999999999
280	33.1500000000000	0.449999999999996	70.2000000000000	1.80000000000000
300	32.7000000000000	0.600000000000001	74.6500000000000	0.549999999999997
320	33.9000000000000	0.599999999999994	82.3000000000000	0.200000000000003
340	36.1500000000000	0.149999999999999	94.2000000000000	1.80000000000000
360	40.3000000000000	1.40000000000000	117.350000000000	8.05000000000000
380	53.9000000000000	9.20000000000000	151.050000000000	17.5500000000000
400	63.9000000000000	0	177.500000000000	0

40oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	50.4500000000000	4.85000000000000	47.7500000000000	2.65000000000000
20	26.5500000000000	1.75000000000000	41.1500000000000	0.449999999999996
40	22.6500000000000	1.05000000000000	43.1500000000000	0.250000000000000
