10oC								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	31.8949	17.3857	4.8	18	20.0316	5.42254	54.8155	78.9407
20	39.1761	13	4.8654	18.9224	24.0025	16.1476	77.8166	104.926
40	41.7964	8.5	5	22.077	30.0045	18.4004	85.0325	125.753
80	97.1034	15.3719	18	61.9259	105.84	22.014	125.734	222.652
								
20oC								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	33	15	7.99	10	21.3267	27.3325	16.8257	13.499
20	40.125	14	7.03	12.07	22.99	27.999	45	60.9968
40	38.5042	7	8	12.02	27	20	48	71.3286
60	52.4685	6.014	1.19	18.0293	31	28	62	73
80	61.9906	5.36	8	15.113	38.1585	34.855	75.3485	112.4
100	90.4666	8.11	10.45	38.3927	57.16	37.2964	81.029	153.173
								
30oC								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	34.2	18.055	3.573	3.57	19.11	0.324	70.45	97.94
20	37.2858	5.946	5.946	5.94	21	1.2	30.7935	50.033
40	34.301	1.465	6.193	6.19	23.4	0.999	30	62.0037
60	39.6174	0.799	7.17	14.499	26	1.499	53	70.11
80	59.0736	0.8	7.989	26.3355	35.2827	7.805	61.006	81.8142
100	80.9985	0.797	12.3855	28.998	49.99	14.995	75	93
								
40oC								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	32.5138	21	2	5	19.2	3.44746	78.3395	90.1478
20	35.0834	6	7.064	23.3865	20	3	80	92
40	42.5646	2.5	10.6	25	21	5	82	110.83
60	54.804	2.51417	12.0065	39.3563	23.6197	35	152.507	187
								
50oC								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	21.1515	28	3.388	3	37.6122	1.99	12.9753	37.6122
10	48.7	6	6	35.1245	19.0345	9	51.1995	62.2527
40	46.58	2	7.8	43.2705	24	9.702	57.0125	94.0104
50	48.6641	2.41615	8.2	81.9854	22	10.328	67	180.233
60	42.0965	5.24356	8.26083	91.18	26	5	63.2	798.003
70	50.5	4.2	8.511	96.0117	22.6753	10.0012	76	235.303
80	48.1795	3	10	132.018	22.3075	10.7	76.7915	245.169
100	61.4636	7.38575	19.008	168.218	32.2912	14.0994	67.2621	257.184
