condition,cycle,soh,soh_errorbar
10oC,0.0,1.0,0.0
10oC,20.0,0.849592596554411,0.0503601370205062
10oC,40.0,0.826096850301049,0.0159702680225682
10oC,60.0,0.80270820821727,0.0056421935473433
10oC,80.0,0.789562952309487,0.000605631273307705
10oC,100.0,0.781455596703764,0.00502578734501191
10oC,120.0,0.741159830972927,0.0081205998401086
10oC,140.0,0.713642624915095,7.71609163554565e-05
10oC,160.0,0.412695531718318,0.01301740352668
20oC,0.0,1.0,0.0
20oC,20.0,0.91574018164936,0.023802148136872
20oC,40.0,0.880308898172458,0.000753384470602692
20oC,60.0,0.851891017965985,0.0131935788259284
20oC,80.0,0.832653437635586,0.0102696247996711
20oC,100.0,0.810890480877681,0.0131984163819485
20oC,120.0,0.781484633686156,0.0303306659340217
20oC,140.0,0.76804974472402,0.00804342161304894
20oC,160.0,0.748668055936935,0.0145864878054139
20oC,180.0,0.710463208418993,0.0344594145524105
20oC,200.0,0.625097449040449,0.0768204967799363
20oC,220.0,0.661330319866905,0.0
20oC,240.0,0.549989013403648,0.0
30oC,0.0,1.0,0.0
30oC,20.0,0.91393067565537,0.0125656382269242
30oC,40.0,0.871901891881128,0.00654993868241094
30oC,60.0,0.839120192834211,0.00503200009344174
30oC,80.0,0.807630384658467,0.00612695633865856
30oC,100.0,0.782689923687248,0.0123244459241478
30oC,120.0,0.768543930233875,0.0196604931073726
30oC,140.0,0.761984730304673,0.017441734770924
30oC,160.0,0.756116199694285,0.014907166543376
30oC,180.0,0.750025804942257,0.00850224703825009
30oC,200.0,0.748759797615053,0.00748785951352404
30oC,220.0,0.755199218359417,0.00110700294019928
30oC,240.0,0.749088385197062,0.00611699946671096
30oC,260.0,0.738361789275553,0.00957648387201726
30oC,280.0,0.731559644225382,0.00507036951946305
30oC,300.0,0.721467840647698,0.000105319417277316
30oC,320.0,0.703844363979347,0.00226370672581733
30oC,340.0,0.68025233995137,0.0100036831976522
30oC,360.0,0.644795302904708,0.0220600786138173
30oC,380.0,0.501501625786034,0.100058416989333
30oC,400.0,0.401019060200038,0.0
40oC,0.0,1.0,0.0
40oC,20.0,0.898754990211727,0.00520326931353987
40oC,40.0,0.868091307109949,0.0333225870573352
40oC,60.0,0.822328173062875,0.0365400674601691
40oC,80.0,0.771799185774319,0.0305132880573665
40oC,100.0,0.761058711354523,0.0288862144079817
50oC,0.0,1.0,0.0
50oC,20.0,0.922267707073372,0.0416305346026473
50oC,40.0,0.798833715804287,0.0520516813774062
50oC,60.0,0.74407018750256,0.0461156212017678
50oC,80.0,0.705885001741648,0.0354169062269266
50oC,100.0,0.699465961583512,0.0451717737949647
50oC,120.0,0.667518271577715,0.0663014066864075
50oC,140.0,0.64253565279099,0.0640050630089856
50oC,160.0,0.63186385111143,0.0713722132357457
50oC,180.0,0.594719951087061,0.0867552952029999
50oC,200.0,0.56710922780764,0.109409041303222
50oC,220.0,0.395623059571427,0.124641312544797
0.1C/0.2C,0.0,1.0,0.0
0.1C/0.2C,20.0,0.91393067565537,0.0125656382269242
0.1C/0.2C,40.0,0.871901891881128,0.00654993868241094
0.1C/0.2C,60.0,0.839120192834211,0.00503200009344174
0.1C/0.2C,80.0,0.807630384658467,0.00612695633865856
0.1C/0.2C,100.0,0.782689923687248,0.0123244459241478
0.1C/0.2C,120.0,0.768543930233875,0.0196604931073726
0.1C/0.2C,140.0,0.761984730304673,0.017441734770924
0.1C/0.2C,160.0,0.756116199694285,0.014907166543376
0.1C/0.2C,180.0,0.750025804942257,0.00850224703825009
0.1C/0.2C,200.0,0.748759797615053,0.00748785951352404
0.1C/0.2C,220.0,0.755199218359417,0.00110700294019928
0.1C/0.2C,240.0,0.749088385197062,0.00611699946671096
0.1C/0.2C,260.0,0.738361789275553,0.00957648387201726
0.1C/0.2C,280.0,0.731559644225382,0.00507036951946305
0.1C/0.2C,300.0,0.721467840647698,0.000105319417277316
0.1C/0.2C,320.0,0.703844363979347,0.00226370672581733
0.1C/0.2C,340.0,0.68025233995137,0.0100036831976522
0.1C/0.2C,360.0,0.644795302904708,0.0220600786138173
0.1C/0.2C,380.0,0.501501625786034,0.100058416989333
0.1C/0.2C,400.0,0.401019060200038,0.0
0.1C/0.5C,0.0,1.0,0.0
0.1C/0.5C,20.0,0.912954853732586,0.0128025114703039
0.1C/0.5C,40.0,0.881528828398523,0.00629079361370621
0.1C/0.5C,60.0,0.848685113402471,0.00957310673209844
0.1C/0.5C,80.0,0.798261316659708,0.00962874300767869
0.1C/0.5C,100.0,0.78297575218992,0.0
0.1C/0.5C,120.0,0.74012949092294,0.0
0.1C/0.5C,140.0,0.677986543100165,0.0
0.1C/0.5C,160.0,0.635997207058525,0.0
0.1C/1C,0.0,1.0,0.0
0.1C/1C,20.0,0.894520291948768,0.00790539329122664
0.1C/1C,40.0,0.859947898990954,0.00988867287881878
0.1C/1C,60.0,0.825743669667827,0.0109568836715118
0.1C/1C,80.0,0.795330933216006,0.0119010832554903
0.1C/1C,100.0,0.782619501694819,0.0125484303602574
0.1C/1C,120.0,0.759832513544377,0.0137809210200289
0.2C/0.2C,0.0,1.0,0.0
0.2C/0.2C,20.0,0.826018341597202,0.0242571666680456
0.2C/0.2C,40.0,0.737974325564918,0.00349125173573406
0.2C/0.2C,60.0,0.461047574177868,0.222466264570628
0.3C/0.2C,0.0,1.0,0.0
0.3C/0.2C,20.0,0.694204970276614,0.0174966675580244
0.3C/0.2C,30.0,0.304265509820408,0.101871436834858
